id,brand,category,gender,doelgroep,price
23978,8x4,Gezond & verzorging,Man,Mannen,1.79
7225,8x4,Gezond & verzorging,Vrouw,Vrouwen,1.79
29438,1Auto,Wonen & vrije tijd,Unisex,Volwassenen,1.79
8533,8x4,Gezond & verzorging,Man,Mannen,1.79
9196,8x4,Gezond & verzorging,Man,Mannen,1.79
8570,8x4,Gezond & verzorging,Vrouw,Vrouwen,1.79
22309,Agfa,Elektronica & media,Unisex,Volwassenen,1.29
31625,Airwick,Huishouden,B2B,Kantoor,4.99
29100,Airwick,Huishouden,Gezin,Volwassenen,2.99
2036,8x4,Gezond & verzorging,Vrouw,Vrouwen,1.79
16118,Airwick,Huishouden,Gezin,Volwassenen,2.99
16121,Airwick,Huishouden,B2B,Kantoor,2.99
8532,8x4,Gezond & verzorging,Vrouw,Vrouwen,1.79
29099,Airwick,Huishouden,Gezin,Kantoor,2.99
17043,Airwick,Huishouden,Gezin,Volwassenen,2.99
32520,Agfa,Elektronica & media,Unisex,Volwassenen,1.29
32476,Airwick,Wonen & vrije tijd,Unisex,Volwassenen,2.29
32483,Airwick,Wonen & vrije tijd,Unisex,Volwassenen,2.29
32474,Airwick,Wonen & vrije tijd,Unisex,Volwassenen,2.49
32482,Airwick,Wonen & vrije tijd,Unisex,Volwassenen,2.29
29244,Airwick,Wonen & vrije tijd,Unisex,Volwassenen,3.99
32480,Airwick,Wonen & vrije tijd,Unisex,Volwassenen,2.29
31627,Airwick,Wonen & vrije tijd,Unisex,Volwassenen,3.99
30811,Airwick,Wonen & vrije tijd,Unisex,Volwassenen,3.99
7673,Ajax,Huishouden,Unisex,Volwassenen,1.79
31626,Airwick,Wonen & vrije tijd,Unisex,Volwassenen,3.99
5952,Ajax,Huishouden,Gezin,Volwassenen,1.79
7674,Ajax,Huishouden,Unisex,Volwassenen,1.79
7474,Ajax,Huishouden,Unisex,Volwassenen,1.79
7472,Ajax,Huishouden,Unisex,Volwassenen,1.79
2855,Alpifresh,Gezond & verzorging,Unisex,Volwassenen,1.49
33298,Always,Gezond & verzorging,Vrouw,Vrouwen,3.49
4269,Alpifresh,Gezond & verzorging,Vrouw,Volwassenen,2.29
5180,Always,Gezond & verzorging,Vrouw,Vrouwen,3.49
33321,Always,Gezond & verzorging,Vrouw,Vrouwen,2.49
24564,Always,Gezond & verzorging,Vrouw,Vrouwen,2.49
23061,Amando,Gezond & verzorging,Man,Mannen,0.99
25873,Always,Gezond & verzorging,Vrouw,Vrouwen,3.99
7149,Amando,Gezond & verzorging,Man,Mannen,2.99
32521,Ambi Pur,Huishouden,Unisex,Volwassenen,5.99
33295,Always,Gezond & verzorging,Vrouw,Vrouwen,2.49
7146,Amando,Gezond & verzorging,Man,Mannen,2.98
31047,Always,Gezond & verzorging,Vrouw,Vrouwen,2.49
20275,Ambi Pur,Huishouden,Unisex,Volwassenen,3.29
20180,Ambi Pur,Huishouden,Unisex,Volwassenen,1.39
20169,Ambi Pur,Huishouden,Unisex,Volwassenen,1.39
32522,Ambi Pur,Huishouden,Unisex,Volwassenen,3.99
32523,Ambi Pur,Huishouden,B2B,Kantoor,2.99
2154,Andrelon,Gezond & verzorging,Unisex,Vrouwen,2.29
31729,Andrelon,Gezond & verzorging,Gezin,Volwassenen,2.49
6910,Andrelon,Gezond & verzorging,Vrouw,Vrouwen,2.29
2551,Andrelon,Gezond & verzorging,Vrouw,Vrouwen,2.29
